Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (30545206),Connor McDavid,30545206,C/UTIL,9700,NYR@EDM 10/26/2023 09:00PM ET,EDM,13.9
C,Auston Matthews (30545208),Auston Matthews,30545208,C/UTIL,9600,TOR@DAL 10/26/2023 08:00PM ET,TOR,24.52
C,Nathan MacKinnon (30545210),Nathan MacKinnon,30545210,C/UTIL,9300,COL@PIT 10/26/2023 07:00PM ET,COL,21.65
RW,David Pastrnak (30545420),David Pastrnak,30545420,W/UTIL,9200,ANH@BOS 10/26/2023 07:00PM ET,BOS,17.58
C,Leon Draisaitl (30545212),Leon Draisaitl,30545212,C/UTIL,8900,NYR@EDM 10/26/2023 09:00PM ET,EDM,18
LW,Brady Tkachuk (30545422),Brady Tkachuk,30545422,W/UTIL,8700,OTT@NYI 10/26/2023 07:30PM ET,OTT,16.73
G,Linus Ullmark (30546196),Linus Ullmark,30546196,G,8500,ANH@BOS 10/26/2023 07:00PM ET,BOS,20.23
RW,Nikita Kucherov (30545424),Nikita Kucherov,30545424,W/UTIL,8400,SJ@TB 10/26/2023 07:00PM ET,TB,18.79
G,Jonas Johansson (30546197),Jonas Johansson,30546197,G,8400,SJ@TB 10/26/2023 07:00PM ET,TB,17.93
G,Jeremy Swayman (30546198),Jeremy Swayman,30546198,G,8300,ANH@BOS 10/26/2023 07:00PM ET,BOS,23.2
G,Frederik Andersen (30546199),Frederik Andersen,30546199,G,8300,SEA@CAR 10/26/2023 07:00PM ET,CAR,5.87
G,Antti Raanta (30546200),Antti Raanta,30546200,G,8300,SEA@CAR 10/26/2023 07:00PM ET,CAR,0.83
G,Pyotr Kochetkov (30546201),Pyotr Kochetkov,30546201,G,8300,SEA@CAR 10/26/2023 07:00PM ET,CAR,0.47
G,Jacob Markstrom (30546202),Jacob Markstrom,30546202,G,8200,STL@CGY 10/26/2023 09:00PM ET,CGY,8.88
C,Tim Stuetzle (30545214),Tim Stuetzle,30545214,C/UTIL,8200,OTT@NYI 10/26/2023 07:30PM ET,OTT,15.37
LW,Kirill Kaprizov (30545426),Kirill Kaprizov,30545426,W/UTIL,8200,MIN@PHI 10/26/2023 07:30PM ET,MIN,16.32
G,Matt Tomkins (30546203),Matt Tomkins,30546203,G,8200,SJ@TB 10/26/2023 07:00PM ET,TB,9.1
G,Andrei Vasilevskiy (30546204),Andrei Vasilevskiy,30546204,G,8200,SJ@TB 10/26/2023 07:00PM ET,TB,0
RW,Mikko Rantanen (30545428),Mikko Rantanen,30545428,W/UTIL,8100,COL@PIT 10/26/2023 07:00PM ET,COL,22.53
G,Alexandar Georgiev (30546205),Alexandar Georgiev,30546205,G,8100,COL@PIT 10/26/2023 07:00PM ET,COL,18.83
G,Dan Vladar (30546210),Dan Vladar,30546210,G,8000,STL@CGY 10/26/2023 09:00PM ET,CGY,4.05
G,Jake Allen (30546206),Jake Allen,30546206,G,8000,CLS@MON 10/26/2023 07:00PM ET,MON,21.6
G,Sam Montembeault (30546207),Sam Montembeault,30546207,G,8000,CLS@MON 10/26/2023 07:00PM ET,MON,11.05
G,Cayden Primeau (30546208),Cayden Primeau,30546208,G,8000,CLS@MON 10/26/2023 07:00PM ET,MON,6.3
G,Carey Price (30546209),Carey Price,30546209,G,8000,CLS@MON 10/26/2023 07:00PM ET,MON,0
G,Filip Gustavsson (30546211),Filip Gustavsson,30546211,G,8000,MIN@PHI 10/26/2023 07:30PM ET,MIN,16.5
C,Sidney Crosby (30545216),Sidney Crosby,30545216,C/UTIL,8000,COL@PIT 10/26/2023 07:00PM ET,PIT,12.9
G,Jake Oettinger (30546215),Jake Oettinger,30546215,G,7900,TOR@DAL 10/26/2023 08:00PM ET,DAL,21.5
G,Ilya Sorokin (30546214),Ilya Sorokin,30546214,G,7900,OTT@NYI 10/26/2023 07:30PM ET,NYI,12.55
D,Cale Makar (30545842),Cale Makar,30545842,D/UTIL,7900,COL@PIT 10/26/2023 07:00PM ET,COL,18.9
G,Ivan Prosvetov (30546212),Ivan Prosvetov,30546212,G,7900,COL@PIT 10/26/2023 07:00PM ET,COL,0
G,Pavel Francouz (30546213),Pavel Francouz,30546213,G,7900,COL@PIT 10/26/2023 07:00PM ET,COL,0
G,Igor Shesterkin (30546216),Igor Shesterkin,30546216,G,7800,NYR@EDM 10/26/2023 09:00PM ET,NYR,9.76
G,Ville Husso (30546217),Ville Husso,30546217,G,7800,WPG@DET 10/26/2023 07:00PM ET,DET,12.58
G,James Reimer (30546218),James Reimer,30546218,G,7800,WPG@DET 10/26/2023 07:00PM ET,DET,22.7
G,Alex Lyon (30546219),Alex Lyon,30546219,G,7800,WPG@DET 10/26/2023 07:00PM ET,DET,0
G,Marc-Andre Fleury (30546220),Marc-Andre Fleury,30546220,G,7800,MIN@PHI 10/26/2023 07:30PM ET,MIN,6.85
LW,Jason Robertson (30545430),Jason Robertson,30545430,W/UTIL,7700,TOR@DAL 10/26/2023 08:00PM ET,DAL,9.76
G,Scott Wedgewood (30546222),Scott Wedgewood,30546222,G,7700,TOR@DAL 10/26/2023 08:00PM ET,DAL,20.2
G,Semyon Varlamov (30546221),Semyon Varlamov,30546221,G,7700,OTT@NYI 10/26/2023 07:30PM ET,NYI,20.5
RW,William Nylander (30545432),William Nylander,30545432,W/UTIL,7600,TOR@DAL 10/26/2023 08:00PM ET,TOR,19.68
G,Jack Campbell (30546224),Jack Campbell,30546224,G,7600,NYR@EDM 10/26/2023 09:00PM ET,EDM,7.85
G,Jonathan Quick (30546225),Jonathan Quick,30546225,G,7600,NYR@EDM 10/26/2023 09:00PM ET,NYR,10.7
G,Connor Hellebuyck (30546223),Connor Hellebuyck,30546223,G,7600,WPG@DET 10/26/2023 07:00PM ET,WPG,9.94
G,Ilya Samsonov (30546226),Ilya Samsonov,30546226,G,7500,TOR@DAL 10/26/2023 08:00PM ET,TOR,2.82
G,Stuart Skinner (30546227),Stuart Skinner,30546227,G,7500,NYR@EDM 10/26/2023 09:00PM ET,EDM,-0.97
G,Ryan Fanti (30546228),Ryan Fanti,30546228,G,7500,NYR@EDM 10/26/2023 09:00PM ET,EDM,0
LW,Alex DeBrincat (30545434),Alex DeBrincat,30545434,W/UTIL,7500,WPG@DET 10/26/2023 07:00PM ET,DET,21.66
G,Joonas Korpisalo (30546229),Joonas Korpisalo,30546229,G,7500,OTT@NYI 10/26/2023 07:30PM ET,OTT,7.35
C,Brayden Point (30545218),Brayden Point,30545218,C/UTIL,7500,SJ@TB 10/26/2023 07:00PM ET,TB,11.93
C,Dylan Larkin (30545220),Dylan Larkin,30545220,C/UTIL,7400,WPG@DET 10/26/2023 07:00PM ET,DET,21.19
LW,Kyle Connor (30545436),Kyle Connor,30545436,W/UTIL,7400,WPG@DET 10/26/2023 07:00PM ET,WPG,15.55
G,Laurent Brossoit (30546232),Laurent Brossoit,30546232,G,7400,WPG@DET 10/26/2023 07:00PM ET,WPG,1.4
G,Elvis Merzlikins (30546230),Elvis Merzlikins,30546230,G,7400,CLS@MON 10/26/2023 07:00PM ET,CLS,13.12
G,Carter Hart (30546231),Carter Hart,30546231,G,7400,MIN@PHI 10/26/2023 07:30PM ET,PHI,16.04
C,John Tavares (30545222),John Tavares,30545222,C/UTIL,7300,TOR@DAL 10/26/2023 08:00PM ET,TOR,18.7
G,Joseph Woll (30546233),Joseph Woll,30546233,G,7300,TOR@DAL 10/26/2023 08:00PM ET,TOR,21.8
G,Matt Murray (30546234),Matt Murray,30546234,G,7300,TOR@DAL 10/26/2023 08:00PM ET,TOR,0
G,Anton Forsberg (30546236),Anton Forsberg,30546236,G,7300,OTT@NYI 10/26/2023 07:30PM ET,OTT,7.5
G,Tristan Jarry (30546235),Tristan Jarry,30546235,G,7300,COL@PIT 10/26/2023 07:00PM ET,PIT,8.8
LW,Steven Stamkos (30545438),Steven Stamkos,30545438,W/UTIL,7300,SJ@TB 10/26/2023 07:00PM ET,TB,13.96
LW,Brad Marchand (30545440),Brad Marchand,30545440,W/UTIL,7200,ANH@BOS 10/26/2023 07:00PM ET,BOS,15.25
G,Jordan Binnington (30546239),Jordan Binnington,30546239,G,7200,STL@CGY 10/26/2023 09:00PM ET,STL,18.38
G,Spencer Martin (30546237),Spencer Martin,30546237,G,7200,CLS@MON 10/26/2023 07:00PM ET,CLS,12.33
G,Daniil Tarasov (30546238),Daniil Tarasov,30546238,G,7200,CLS@MON 10/26/2023 07:00PM ET,CLS,0
G,Samuel Ersson (30546240),Samuel Ersson,30546240,G,7200,MIN@PHI 10/26/2023 07:30PM ET,PHI,-1.5
G,Felix Sandstrom (30546241),Felix Sandstrom,30546241,G,7200,MIN@PHI 10/26/2023 07:30PM ET,PHI,0
RW,Mitchell Marner (30545442),Mitchell Marner,30545442,W/UTIL,7100,TOR@DAL 10/26/2023 08:00PM ET,TOR,10.68
G,Philipp Grubauer (30546242),Philipp Grubauer,30546242,G,7100,SEA@CAR 10/26/2023 07:00PM ET,SEA,7.52
G,Alex Nedeljkovic (30546243),Alex Nedeljkovic,30546243,G,7100,COL@PIT 10/26/2023 07:00PM ET,PIT,14.9
G,Joel Hofer (30546244),Joel Hofer,30546244,G,7000,STL@CGY 10/26/2023 09:00PM ET,STL,7.2
C,Roope Hintz (30545224),Roope Hintz,30545224,C/UTIL,7000,TOR@DAL 10/26/2023 08:00PM ET,DAL,13.08
LW,Jake Guentzel (30545444),Jake Guentzel,30545444,W/UTIL,7000,COL@PIT 10/26/2023 07:00PM ET,PIT,13.5
G,Kaapo Kahkonen (30546245),Kaapo Kahkonen,30546245,G,7000,SJ@TB 10/26/2023 07:00PM ET,SJ,9.1
G,MacKenzie Blackwood (30546246),MacKenzie Blackwood,30546246,G,7000,SJ@TB 10/26/2023 07:00PM ET,SJ,15.65
G,John Gibson (30546247),John Gibson,30546247,G,6900,ANH@BOS 10/26/2023 07:00PM ET,ANH,8.87
G,Joey Daccord (30546248),Joey Daccord,30546248,G,6900,SEA@CAR 10/26/2023 07:00PM ET,SEA,12.6
RW,Zach Hyman (30545446),Zach Hyman,30545446,W/UTIL,6900,NYR@EDM 10/26/2023 09:00PM ET,EDM,13.48
D,Erik Karlsson (30545844),Erik Karlsson,30545844,D/UTIL,6900,COL@PIT 10/26/2023 07:00PM ET,PIT,9.75
RW,Jordan Kyrou (30545448),Jordan Kyrou,30545448,W/UTIL,6800,STL@CGY 10/26/2023 09:00PM ET,STL,11.3
C,Evgeni Malkin (30545226),Evgeni Malkin,30545226,C/UTIL,6800,COL@PIT 10/26/2023 07:00PM ET,PIT,16.68
G,Lukas Dostal (30546249),Lukas Dostal,30546249,G,6700,ANH@BOS 10/26/2023 07:00PM ET,ANH,18.3
C,Elias Lindholm (30545228),Elias Lindholm,30545228,C/UTIL,6700,STL@CGY 10/26/2023 09:00PM ET,CGY,10.54
LW,Travis Konecny (30545450),Travis Konecny,30545450,W/UTIL,6700,MIN@PHI 10/26/2023 07:30PM ET,PHI,15.35
LW,Sebastian Aho (30545452),Sebastian Aho,30545452,W/UTIL,6600,SEA@CAR 10/26/2023 07:00PM ET,CAR,10.12
D,Brent Burns (30545846),Brent Burns,30545846,D/UTIL,6600,SEA@CAR 10/26/2023 07:00PM ET,CAR,9.6
C,Joel Eriksson Ek (30545230),Joel Eriksson Ek,30545230,C/UTIL,6600,MIN@PHI 10/26/2023 07:30PM ET,MIN,16.32
LW,Andrei Svechnikov (30545454),Andrei Svechnikov,30545454,W/UTIL,6500,SEA@CAR 10/26/2023 07:00PM ET,CAR,0
C,Mika Zibanejad (30545232),Mika Zibanejad,30545232,C/UTIL,6500,NYR@EDM 10/26/2023 09:00PM ET,NYR,10.9
D,Josh Morrissey (30545848),Josh Morrissey,30545848,D/UTIL,6500,WPG@DET 10/26/2023 07:00PM ET,WPG,11.6
LW,Artemi Panarin (30545456),Artemi Panarin,30545456,W/UTIL,6400,NYR@EDM 10/26/2023 09:00PM ET,NYR,14.67
C,Boone Jenner (30545234),Boone Jenner,30545234,C/UTIL,6400,CLS@MON 10/26/2023 07:00PM ET,CLS,16.13
D,Zach Werenski (30545850),Zach Werenski,30545850,D/UTIL,6400,CLS@MON 10/26/2023 07:00PM ET,CLS,12.3
LW,Frank Vatrano (30545460),Frank Vatrano,30545460,W/UTIL,6300,ANH@BOS 10/26/2023 07:00PM ET,ANH,18.87
D,Charlie McAvoy (30545852),Charlie McAvoy,30545852,D/UTIL,6300,ANH@BOS 10/26/2023 07:00PM ET,BOS,11.15
C,Ryan Nugent-Hopkins (30545236),Ryan Nugent-Hopkins,30545236,C/UTIL,6300,NYR@EDM 10/26/2023 09:00PM ET,EDM,10.92
LW,Cole Caufield (30545458),Cole Caufield,30545458,W/UTIL,6300,CLS@MON 10/26/2023 07:00PM ET,MON,13.22
C,Nazem Kadri (30545238),Nazem Kadri,30545238,C/UTIL,6200,STL@CGY 10/26/2023 09:00PM ET,CGY,6.47
D,Rasmus Andersson (30545854),Rasmus Andersson,30545854,D/UTIL,6200,STL@CGY 10/26/2023 09:00PM ET,CGY,13.44
RW,Joe Pavelski (30545464),Joe Pavelski,30545464,W/UTIL,6200,TOR@DAL 10/26/2023 08:00PM ET,DAL,13.86
RW,Seth Jarvis (30545462),Seth Jarvis,30545462,W/UTIL,6200,SEA@CAR 10/26/2023 07:00PM ET,CAR,12.83
D,Evan Bouchard (30545856),Evan Bouchard,30545856,D/UTIL,6100,NYR@EDM 10/26/2023 09:00PM ET,EDM,17.07
C,Mark Scheifele (30545240),Mark Scheifele,30545240,C/UTIL,6100,WPG@DET 10/26/2023 07:00PM ET,WPG,11.85
RW,Mats Zuccarello (30545466),Mats Zuccarello,30545466,W/UTIL,6100,MIN@PHI 10/26/2023 07:30PM ET,MIN,14.68
LW,Matt Boldy (30545468),Matt Boldy,30545468,W/UTIL,6100,MIN@PHI 10/26/2023 07:30PM ET,MIN,12.75
C,Trevor Zegras (30545242),Trevor Zegras,30545242,C/UTIL,6000,ANH@BOS 10/26/2023 07:00PM ET,ANH,7.1
RW,Patrik Laine (30545470),Patrik Laine,30545470,W/UTIL,6000,CLS@MON 10/26/2023 07:00PM ET,CLS,10.2
D,Mike Matheson (30545858),Mike Matheson,30545858,D/UTIL,6000,CLS@MON 10/26/2023 07:00PM ET,MON,13.55
RW,Claude Giroux (30545472),Claude Giroux,30545472,W/UTIL,6000,OTT@NYI 10/26/2023 07:30PM ET,OTT,10.05
LW,Jake DeBrusk (30545476),Jake DeBrusk,30545476,W/UTIL,5900,ANH@BOS 10/26/2023 07:00PM ET,BOS,6.98
D,Adam Fox (30545860),Adam Fox,30545860,D/UTIL,5900,NYR@EDM 10/26/2023 09:00PM ET,NYR,8.63
LW,Johnny Gaudreau (30545474),Johnny Gaudreau,30545474,W/UTIL,5900,CLS@MON 10/26/2023 07:00PM ET,CLS,9.68
C,Logan Couture (30545244),Logan Couture,30545244,C/UTIL,5900,SJ@TB 10/26/2023 07:00PM ET,SJ,0
C,Bo Horvat (30545246),Bo Horvat,30545246,C/UTIL,5800,OTT@NYI 10/26/2023 07:30PM ET,NYI,11.22
RW,Vladimir Tarasenko (30545480),Vladimir Tarasenko,30545480,W/UTIL,5800,OTT@NYI 10/26/2023 07:30PM ET,OTT,11.17
