playerName,sal,team,opp,proj,actual
Linus Ullmark,8500,BOS,ANHBOS,20.23,
Jonas Johansson,8400,TB,SJTB,17.93,
Jeremy Swayman,8300,BOS,ANHBOS,23.2,
Frederik Andersen,8300,CAR,SEACAR,5.87,
Antti Raanta,8300,CAR,SEACAR,0.83,
Pyotr Kochetkov,8300,CAR,SEACAR,0.47,
Jacob Markstrom,8200,CGY,STLCGY,8.88,
Matt Tomkins,8200,TB,SJTB,9.1,
Andrei Vasilevskiy,8200,TB,SJTB,0.0,
Alexandar Georgiev,8100,COL,COLPIT,18.83,
Dan Vladar,8000,CGY,STLCGY,4.05,
Jake Allen,8000,MON,CLSMON,21.6,
Sam Montembeault,8000,MON,CLSMON,11.05,
Cayden Primeau,8000,MON,CLSMON,6.3,
Carey Price,8000,MON,CLSMON,0.0,
Filip Gustavsson,8000,MIN,MINPHI,16.5,
Jake Oettinger,7900,DAL,TORDAL,21.5,
Ilya Sorokin,7900,NYI,OTTNYI,12.55,
Ivan Prosvetov,7900,COL,COLPIT,0.0,
Pavel Francouz,7900,COL,COLPIT,0.0,
Igor Shesterkin,7800,NYR,NYREDM,9.76,
Ville Husso,7800,DET,WPGDET,12.58,
James Reimer,7800,DET,WPGDET,22.7,
Alex Lyon,7800,DET,WPGDET,0.0,
Marc-Andre Fleury,7800,MIN,MINPHI,6.85,
Scott Wedgewood,7700,DAL,TORDAL,20.2,
Semyon Varlamov,7700,NYI,OTTNYI,20.5,
Jack Campbell,7600,EDM,NYREDM,7.85,
Jonathan Quick,7600,NYR,NYREDM,10.7,
Connor Hellebuyck,7600,WPG,WPGDET,9.94,
Ilya Samsonov,7500,TOR,TORDAL,2.82,
Stuart Skinner,7500,EDM,NYREDM,-0.97,
Ryan Fanti,7500,EDM,NYREDM,0.0,
Joonas Korpisalo,7500,OTT,OTTNYI,7.35,
Laurent Brossoit,7400,WPG,WPGDET,1.4,
Elvis Merzlikins,7400,CLS,CLSMON,13.12,
Carter Hart,7400,PHI,MINPHI,16.04,
Joseph Woll,7300,TOR,TORDAL,21.8,
Matt Murray,7300,TOR,TORDAL,0.0,
Anton Forsberg,7300,OTT,OTTNYI,7.5,
Tristan Jarry,7300,PIT,COLPIT,8.8,
Jordan Binnington,7200,STL,STLCGY,18.38,
Spencer Martin,7200,CLS,CLSMON,12.33,
Daniil Tarasov,7200,CLS,CLSMON,0.0,
Samuel Ersson,7200,PHI,MINPHI,-1.5,
Felix Sandstrom,7200,PHI,MINPHI,0.0,
Philipp Grubauer,7100,SEA,SEACAR,7.52,
Alex Nedeljkovic,7100,PIT,COLPIT,14.9,
Joel Hofer,7000,STL,STLCGY,7.2,
Kaapo Kahkonen,7000,SJ,SJTB,9.1,
MacKenzie Blackwood,7000,SJ,SJTB,15.65,
John Gibson,6900,ANH,ANHBOS,8.87,
Joey Daccord,6900,SEA,SEACAR,12.6,
Lukas Dostal,6700,ANH,ANHBOS,18.3,
