playerName,sal,pos,team,opp,proj
Connor McDavid,9700,C/UTIL,EDM,NYR,13.9
Auston Matthews,9600,C/UTIL,TOR,DAL,24.52
Nathan MacKinnon,9300,C/UTIL,COL,PIT,21.65
David Pastrnak,9200,W/UTIL,BOS,ANH,17.58
Leon Draisaitl,8900,C/UTIL,EDM,NYR,18.0
Brady Tkachuk,8700,W/UTIL,OTT,NYI,16.73
Linus Ullmark,8500,G,BOS,ANH,20.23
Nikita Kucherov,8400,W/UTIL,TB,SJ,18.79
Jonas Johansson,8400,G,TB,SJ,17.93
Jeremy Swayman,8300,G,BOS,ANH,23.2
Frederik Andersen,8300,G,CAR,SEA,5.87
Antti Raanta,8300,G,CAR,SEA,0.83
Pyotr Kochetkov,8300,G,CAR,SEA,0.47
Jacob Markstrom,8200,G,CGY,STL,8.88
Tim Stuetzle,8200,C/UTIL,OTT,NYI,15.37
Kirill Kaprizov,8200,W/UTIL,MIN,PHI,16.32
Matt Tomkins,8200,G,TB,SJ,9.1
Andrei Vasilevskiy,8200,G,TB,SJ,0.0
Mikko Rantanen,8100,W/UTIL,COL,PIT,22.53
Alexandar Georgiev,8100,G,COL,PIT,18.83
Dan Vladar,8000,G,CGY,STL,4.05
Jake Allen,8000,G,MON,CLS,21.6
Sam Montembeault,8000,G,MON,CLS,11.05
Cayden Primeau,8000,G,MON,CLS,6.3
Carey Price,8000,G,MON,CLS,0.0
Filip Gustavsson,8000,G,MIN,PHI,16.5
Sidney Crosby,8000,C/UTIL,PIT,COL,12.9
Jake Oettinger,7900,G,DAL,TOR,21.5
Ilya Sorokin,7900,G,NYI,OTT,12.55
Cale Makar,7900,D/UTIL,COL,PIT,18.9
Ivan Prosvetov,7900,G,COL,PIT,0.0
Pavel Francouz,7900,G,COL,PIT,0.0
Igor Shesterkin,7800,G,NYR,EDM,9.76
Ville Husso,7800,G,DET,WPG,12.58
James Reimer,7800,G,DET,WPG,22.7
Alex Lyon,7800,G,DET,WPG,0.0
Marc-Andre Fleury,7800,G,MIN,PHI,6.85
Jason Robertson,7700,W/UTIL,DAL,TOR,9.76
Scott Wedgewood,7700,G,DAL,TOR,20.2
Semyon Varlamov,7700,G,NYI,OTT,20.5
William Nylander,7600,W/UTIL,TOR,DAL,19.68
Jack Campbell,7600,G,EDM,NYR,7.85
Jonathan Quick,7600,G,NYR,EDM,10.7
Connor Hellebuyck,7600,G,WPG,DET,9.94
Ilya Samsonov,7500,G,TOR,DAL,2.82
Stuart Skinner,7500,G,EDM,NYR,-0.97
Ryan Fanti,7500,G,EDM,NYR,0.0
Alex DeBrincat,7500,W/UTIL,DET,WPG,21.66
Joonas Korpisalo,7500,G,OTT,NYI,7.35
Brayden Point,7500,C/UTIL,TB,SJ,11.93
Dylan Larkin,7400,C/UTIL,DET,WPG,21.19
Kyle Connor,7400,W/UTIL,WPG,DET,15.55
Laurent Brossoit,7400,G,WPG,DET,1.4
Elvis Merzlikins,7400,G,CLS,MON,13.12
Carter Hart,7400,G,PHI,MIN,16.04
John Tavares,7300,C/UTIL,TOR,DAL,18.7
Joseph Woll,7300,G,TOR,DAL,21.8
Matt Murray,7300,G,TOR,DAL,0.0
Anton Forsberg,7300,G,OTT,NYI,7.5
Tristan Jarry,7300,G,PIT,COL,8.8
Steven Stamkos,7300,W/UTIL,TB,SJ,13.96
Brad Marchand,7200,W/UTIL,BOS,ANH,15.25
Jordan Binnington,7200,G,STL,CGY,18.38
Spencer Martin,7200,G,CLS,MON,12.33
Daniil Tarasov,7200,G,CLS,MON,0.0
